Description,ensembl_id,entrez_id,gene_biotype,Type
MUL1,ENSG00000090432,79594,protein_coding,target
FAM43B,ENSG00000183114,163933,protein_coding,target
CDA,ENSG00000158825,978,protein_coding,target
PINK1,ENSG00000158828,65018,protein_coding,target
DDOST,ENSG00000244038,1650,protein_coding,target
KIF17,ENSG00000117245,57576,protein_coding,target
SH2D5,ENSG00000189410,400745,protein_coding,target
HP1BP3,ENSG00000127483,50809,protein_coding,target
EIF4G3,ENSG00000075151,8672,protein_coding,target
ECE1,ENSG00000117298,1889,protein_coding,target
NBPF3,ENSG00000142794,84224,protein_coding,target
ALPL,ENSG00000162551,249,protein_coding,target
RAP1GAP,ENSG00000076864,5909,protein_coding,landmark
USP48,ENSG00000090686,84196,protein_coding,target
LDLRAD2,ENSG00000187942,401944,protein_coding,target
HSPG2,ENSG00000142798,3339,protein_coding,target
CELA3B,ENSG00000219073,23436,protein_coding,target
CELA3A,ENSG00000142789,10136,protein_coding,target
CDC42,ENSG00000070831,998,protein_coding,landmark
WNT4,ENSG00000162552,54361,protein_coding,target
ZBTB40,ENSG00000184677,9923,protein_coding,target
EPHA8,ENSG00000070886,2046,protein_coding,target
C1QA,ENSG00000173372,712,protein_coding,target
C1QC,ENSG00000159189,714,protein_coding,target
C1QB,ENSG00000173369,713,protein_coding,target
EPHB2,ENSG00000133216,2048,protein_coding,landmark
LACTBL1,ENSG00000215906,646262,protein_coding,target
C1orf234,ENSG00000227868,729059,protein_coding,target
KDM1A,ENSG00000004487,23028,protein_coding,target
LUZP1,ENSG00000169641,7798,protein_coding,target
HTR1D,ENSG00000179546,3352,protein_coding,target
HNRNPR,ENSG00000125944,10236,protein_coding,target
ZNF436,ENSG00000125945,80818,protein_coding,target
TCEA3,ENSG00000204219,6920,protein_coding,target
ASAP3,ENSG00000088280,55616,protein_coding,target
E2F2,ENSG00000007968,1870,protein_coding,landmark
ID3,ENSG00000117318,3399,protein_coding,target
RPL11,ENSG00000142676,6135,protein_coding,target
ELOA,ENSG00000011007,6924,protein_coding,target
PITHD1,ENSG00000057757,57095,protein_coding,target
LYPLA2,ENSG00000011009,11313,protein_coding,target
GALE,ENSG00000117308,2582,protein_coding,landmark
HMGCL,ENSG00000117305,3155,protein_coding,target
FUCA1,ENSG00000179163,2517,protein_coding,target
CNR2,ENSG00000188822,1269,protein_coding,target
PNRC2,ENSG00000189266,55629,protein_coding,target
SRSF10,ENSG00000188529,10772,protein_coding,target
MYOM3,ENSG00000142661,127294,protein_coding,target
IL22RA1,ENSG00000142677,58985,protein_coding,target
IFNLR1,ENSG00000185436,163702,protein_coding,target
GRHL3,ENSG00000158055,57822,protein_coding,target
STPG1,ENSG00000001460,90529,protein_coding,target
NIPAL3,ENSG00000001461,57185,protein_coding,target
RCAN3,ENSG00000117602,11123,protein_coding,target
NCMAP,ENSG00000184454,400746,protein_coding,target
SRRM1,ENSG00000133226,10250,protein_coding,target
CLIC4,ENSG00000169504,25932,protein_coding,landmark
RUNX3,ENSG00000020633,864,protein_coding,target
SYF2,ENSG00000117614,25949,protein_coding,target
RSRP1,ENSG00000117616,57035,protein_coding,target
RHD,ENSG00000187010,6007,protein_coding,target
TMEM50A,ENSG00000183726,23585,protein_coding,landmark
RHCE,ENSG00000188672,6006,protein_coding,target
TMEM57,ENSG00000204178,55219,protein_coding,target
LDLRAP1,ENSG00000157978,26119,protein_coding,target
MAN1C1,ENSG00000117643,57134,protein_coding,target
SELENON,ENSG00000162430,57190,protein_coding,target
MTFR1L,ENSG00000117640,56181,protein_coding,target
AUNIP,ENSG00000127423,79000,protein_coding,target
PAQR7,ENSG00000182749,164091,protein_coding,target
STMN1,ENSG00000117632,3925,protein_coding,landmark
PAFAH2,ENSG00000158006,5051,protein_coding,target
EXTL1,ENSG00000158008,2134,protein_coding,target
SLC30A2,ENSG00000158014,7780,protein_coding,target
TRIM63,ENSG00000158022,84676,protein_coding,target
PDIK1L,ENSG00000175087,149420,protein_coding,target
FAM110D,ENSG00000197245,79927,protein_coding,target
ZNF593,ENSG00000142684,51042,protein_coding,target
CNKSR1,ENSG00000142675,10256,protein_coding,target
CATSPER4,ENSG00000188782,378807,protein_coding,target
CEP85,ENSG00000130695,64793,protein_coding,target
SH3BGRL3,ENSG00000142669,83442,protein_coding,target
UBXN11,ENSG00000158062,91544,protein_coding,target
CD52,ENSG00000169442,1043,protein_coding,target
AIM1L,ENSG00000176092,55057,protein_coding,target
ZNF683,ENSG00000176083,257101,protein_coding,target
LIN28A,ENSG00000131914,79727,protein_coding,target
DHDDS,ENSG00000117682,79947,protein_coding,landmark
HMGN2,ENSG00000198830,3151,protein_coding,target
RPS6KA1,ENSG00000117676,6195,protein_coding,landmark
ARID1A,ENSG00000117713,8289,protein_coding,target
PIGV,ENSG00000060642,55650,protein_coding,target
ZDHHC18,ENSG00000204160,84243,protein_coding,target
SFN,ENSG00000175793,2810,protein_coding,landmark
GPN2,ENSG00000142751,54707,protein_coding,target
GPATCH3,ENSG00000198746,63906,protein_coding,target
NUDC,ENSG00000090273,10726,protein_coding,target
NR0B2,ENSG00000131910,8431,protein_coding,target
KDF1,ENSG00000175707,126695,protein_coding,target
TRNP1,ENSG00000253368,388610,protein_coding,target
FAM46B,ENSG00000158246,115572,protein_coding,target
SLC9A1,ENSG00000090020,6548,protein_coding,target
WDTC1,ENSG00000142784,23038,protein_coding,landmark
TMEM222,ENSG00000186501,84065,protein_coding,target
SYTL1,ENSG00000142765,84958,protein_coding,target
MAP3K6,ENSG00000142733,9064,protein_coding,target
FCN3,ENSG00000142748,8547,protein_coding,target
CD164L2,ENSG00000174950,388611,protein_coding,target
GPR3,ENSG00000181773,2827,protein_coding,target
WASF2,ENSG00000158195,10163,protein_coding,target
AHDC1,ENSG00000126705,27245,protein_coding,target
FGR,ENSG00000000938,2268,protein_coding,target
IFI6,ENSG00000126709,2537,protein_coding,target
FAM76A,ENSG00000009780,199870,protein_coding,target
STX12,ENSG00000117758,23673,protein_coding,target
PPP1R8,ENSG00000117751,5511,protein_coding,target
THEMIS2,ENSG00000130775,9473,protein_coding,target
RPA2,ENSG00000117748,6118,protein_coding,landmark
SMPDL3B,ENSG00000130768,27293,protein_coding,target
XKR8,ENSG00000158156,55113,protein_coding,target
EYA3,ENSG00000158161,2140,protein_coding,target
PTAFR,ENSG00000169403,5724,protein_coding,target
DNAJC8,ENSG00000126698,22826,protein_coding,target
ATPIF1,ENSG00000130770,93974,protein_coding,target
SESN2,ENSG00000130766,83667,protein_coding,target
MED18,ENSG00000130772,54797,protein_coding,target
PHACTR4,ENSG00000204138,65979,protein_coding,target
RCC1,ENSG00000180198,1104,protein_coding,target
TRNAU1AP,ENSG00000180098,54952,protein_coding,target
TAF12,ENSG00000120656,6883,protein_coding,target
RAB42,ENSG00000188060,115273,protein_coding,target
GMEB1,ENSG00000162419,10691,protein_coding,target
YTHDF2,ENSG00000198492,51441,protein_coding,target
OPRD1,ENSG00000116329,4985,protein_coding,target
EPB41,ENSG00000159023,2035,protein_coding,target
TMEM200B,ENSG00000253304,399474,protein_coding,target
SRSF4,ENSG00000116350,6429,protein_coding,target
MECR,ENSG00000116353,51102,protein_coding,target
PTPRU,ENSG00000060656,10076,protein_coding,target
MATN1,ENSG00000162510,4146,protein_coding,target
LAPTM5,ENSG00000162511,7805,protein_coding,target
SDC3,ENSG00000162512,9672,protein_coding,target
PUM1,ENSG00000134644,9698,protein_coding,target
NKAIN1,ENSG00000084628,79570,protein_coding,target
SNRNP40,ENSG00000060688,9410,protein_coding,target
ZCCHC17,ENSG00000121766,51538,protein_coding,target
FABP3,ENSG00000121769,2170,protein_coding,target
SERINC2,ENSG00000168528,347735,protein_coding,target
TINAGL1,ENSG00000142910,64129,protein_coding,target
HCRTR1,ENSG00000121764,3061,protein_coding,target
PEF1,ENSG00000162517,553115,protein_coding,target
COL16A1,ENSG00000084636,1307,protein_coding,target
ADGRB2,ENSG00000121753,576,protein_coding,target
SPOCD1,ENSG00000134668,90853,protein_coding,target
PTP4A2,ENSG00000184007,8073,protein_coding,target
KHDRBS1,ENSG00000121774,10657,protein_coding,target
TMEM39B,ENSG00000121775,55116,protein_coding,target
KPNA6,ENSG00000025800,23633,protein_coding,target
TXLNA,ENSG00000084652,200081,protein_coding,landmark
CCDC28B,ENSG00000160050,79140,protein_coding,target
IQCC,ENSG00000160051,55721,protein_coding,target
DCDC2B,ENSG00000222046,149069,protein_coding,target
TMEM234,ENSG00000160055,56063,protein_coding,target
EIF3I,ENSG00000084623,8668,protein_coding,target
FAM167B,ENSG00000183615,84734,protein_coding,target
LCK,ENSG00000182866,3932,protein_coding,target
HDAC1,ENSG00000116478,3065,protein_coding,target
MARCKSL1,ENSG00000175130,65108,protein_coding,target
TSSK3,ENSG00000162526,81629,protein_coding,target
FAM229A,ENSG00000225828,100128071,protein_coding,target
BSDC1,ENSG00000160058,55108,protein_coding,target
ZBTB8B,ENSG00000273274,728116,protein_coding,target
ZBTB8A,ENSG00000160062,653121,protein_coding,target
ZBTB8OS,ENSG00000176261,339487,protein_coding,target
RBBP4,ENSG00000162521,5928,protein_coding,target
SYNC,ENSG00000162520,81493,protein_coding,target
KIAA1522,ENSG00000162522,57648,protein_coding,target
YARS,ENSG00000134684,8565,protein_coding,target
S100PBP,ENSG00000116497,64766,protein_coding,target
FNDC5,ENSG00000160097,252995,protein_coding,target
HPCA,ENSG00000121905,3208,protein_coding,target
TMEM54,ENSG00000121900,113452,protein_coding,target
RNF19B,ENSG00000116514,127544,protein_coding,target
AK2,ENSG00000004455,204,protein_coding,target
AZIN2,ENSG00000142920,113451,protein_coding,target
TRIM62,ENSG00000116525,55223,protein_coding,target
ZNF362,ENSG00000160094,149076,protein_coding,target
A3GALT2,ENSG00000184389,127550,protein_coding,target
PHC2,ENSG00000134686,1912,protein_coding,target
ZSCAN20,ENSG00000121903,7579,protein_coding,target
CSMD2,ENSG00000121904,114784,protein_coding,target
HMGB4,ENSG00000176256,127540,protein_coding,target
C1orf94,ENSG00000142698,84970,protein_coding,target
SMIM12,ENSG00000163866,113444,protein_coding,target
GJB5,ENSG00000189280,2709,protein_coding,target
GJB4,ENSG00000189433,127534,protein_coding,target
GJB3,ENSG00000188910,2707,protein_coding,target
GJA4,ENSG00000187513,2701,protein_coding,target
DLGAP3,ENSG00000116544,58512,protein_coding,target
TMEM35B,ENSG00000243749,100506144,protein_coding,target
ZMYM6,ENSG00000163867,9204,protein_coding,target
ZMYM1,ENSG00000197056,79830,protein_coding,target
SFPQ,ENSG00000116560,6421,protein_coding,target
ZMYM4,ENSG00000146463,9202,protein_coding,target
KIAA0319L,ENSG00000142687,79932,protein_coding,target
NCDN,ENSG00000020129,23154,protein_coding,target
TFAP2E,ENSG00000116819,339488,protein_coding,target
PSMB2,ENSG00000126067,5690,protein_coding,target
C1orf216,ENSG00000142686,127703,protein_coding,target
CLSPN,ENSG00000092853,63967,protein_coding,target
AGO4,ENSG00000134698,192670,protein_coding,target
AGO1,ENSG00000092847,26523,protein_coding,target
AGO3,ENSG00000126070,192669,protein_coding,target
TEKT2,ENSG00000092850,27285,protein_coding,target
ADPRHL2,ENSG00000116863,54936,protein_coding,target
COL8A2,ENSG00000171812,1296,protein_coding,target
TRAPPC3,ENSG00000054116,27095,protein_coding,landmark
MAP7D1,ENSG00000116871,55700,protein_coding,target
THRAP3,ENSG00000054118,9967,protein_coding,target
SH3D21,ENSG00000214193,79729,protein_coding,target
EVA1B,ENSG00000142694,55194,protein_coding,target
STK40,ENSG00000196182,83931,protein_coding,target
LSM10,ENSG00000181817,84967,protein_coding,target
OSCP1,ENSG00000116885,127700,protein_coding,target
MRPS15,ENSG00000116898,64960,protein_coding,target
CSF3R,ENSG00000119535,1441,protein_coding,target
GRIK3,ENSG00000163873,2899,protein_coding,target
ZC3H12A,ENSG00000163874,80149,protein_coding,target
MEAF6,ENSG00000163875,64769,protein_coding,target
SNIP1,ENSG00000163877,79753,protein_coding,target
DNALI1,ENSG00000163879,7802,protein_coding,target
GNL2,ENSG00000134697,29889,protein_coding,target
RSPO1,ENSG00000169218,284654,protein_coding,target
C1orf109,ENSG00000116922,54955,protein_coding,target
CDCA8,ENSG00000134690,55143,protein_coding,target
EPHA10,ENSG00000183317,284656,protein_coding,target
MANEAL,ENSG00000185090,149175,protein_coding,target
YRDC,ENSG00000196449,79693,protein_coding,target
C1orf122,ENSG00000197982,127687,protein_coding,target
MTF1,ENSG00000188786,4520,protein_coding,target
INPP5B,ENSG00000204084,3633,protein_coding,target
SF3A3,ENSG00000183431,10946,protein_coding,target
FHL3,ENSG00000183386,2275,protein_coding,target
UTP11,ENSG00000183520,51118,protein_coding,target
POU3F1,ENSG00000185668,5453,protein_coding,target
RRAGC,ENSG00000116954,64121,protein_coding,target
MYCBP,ENSG00000214114,26292,protein_coding,landmark
GJA9,ENSG00000131233,81025,protein_coding,target
RHBDL2,ENSG00000158315,54933,protein_coding,target
AKIRIN1,ENSG00000174574,79647,protein_coding,target
NDUFS5,ENSG00000168653,4725,protein_coding,target
MACF1,ENSG00000127603,23499,protein_coding,landmark
BMP8A,ENSG00000183682,353500,protein_coding,target
PABPC4,ENSG00000090621,8761,protein_coding,target
HEYL,ENSG00000163909,26508,protein_coding,target
NT5C1A,ENSG00000116981,84618,protein_coding,target
HPCAL4,ENSG00000116983,51440,protein_coding,target
PPIE,ENSG00000084072,10450,protein_coding,landmark
BMP8B,ENSG00000116985,656,protein_coding,target
OXCT2,ENSG00000198754,64064,protein_coding,target
TRIT1,ENSG00000043514,54802,protein_coding,target
MYCL,ENSG00000116990,4610,protein_coding,target
MFSD2A,ENSG00000168389,84879,protein_coding,target
CAP1,ENSG00000131236,10487,protein_coding,target
PPT1,ENSG00000131238,5538,protein_coding,target
RLF,ENSG00000117000,6018,protein_coding,target
TMCO2,ENSG00000188800,127391,protein_coding,target
ZMPSTE24,ENSG00000084073,10269,protein_coding,target
COL9A2,ENSG00000049089,1298,protein_coding,target
SMAP2,ENSG00000084070,64744,protein_coding,target
ZFP69B,ENSG00000187801,65243,protein_coding,target
ZFP69,ENSG00000187815,339559,protein_coding,target
EXO5,ENSG00000164002,64789,protein_coding,target
ZNF684,ENSG00000117010,127396,protein_coding,target
RIMS3,ENSG00000117016,9783,protein_coding,target
NFYC,ENSG00000066136,4802,protein_coding,target
KCNQ4,ENSG00000117013,9132,protein_coding,target
CITED4,ENSG00000179862,163732,protein_coding,target
CTPS1,ENSG00000171793,1503,protein_coding,target
SLFNL1,ENSG00000171790,200172,protein_coding,target
SCMH1,ENSG00000010803,22955,protein_coding,target
